"filename", "language", "Dart", "YAML", "Markdown", "Properties", "XML", "Swift", "JSON", "C++", "comment", "blank", "total"
"/Users/hum/StudioProjects/budgetm/.roo/rules-architect/AGENTS.md", "Markdown", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/hum/StudioProjects/budgetm/.roo/rules-ask/AGENTS.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/hum/StudioProjects/budgetm/.roo/rules-code/AGENTS.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/hum/StudioProjects/budgetm/.roo/rules-debug/AGENTS.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/hum/StudioProjects/budgetm/README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/hum/StudioProjects/budgetm/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/hum/StudioProjects/budgetm/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 46
"/Users/hum/StudioProjects/budgetm/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"/Users/hum/StudioProjects/budgetm/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 46, 0, 0, 0, 11, 4, 61
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/values-night-v31/styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 7, 1, 21
